run,design,feature_set,model,n,base_rate,auc,brier,auc_ci_low,auc_ci_high,operating_point,threshold,accuracy,precision,recall,f1,specificity,type_i_error,type_ii_error,power,selection_rate,cost_per_defendant,tp,fp,tn,fn
X1_to_X3,partition,race_aware,TabPFN,1235,0.45506072874493925,0.7340677267030823,0.20679249789347376,0.7045374378393076,0.7608236040523697,0.5,0.5,0.6842105263157895,0.6861471861471862,0.5640569395017794,0.619140625,0.7845468053491828,0.21545319465081725,0.4359430604982206,0.5640569395017794,0.3740890688259109,9520.242914979757,317,145,528,245
X1_to_X3,partition,race_aware,TabPFN,1235,0.45506072874493925,0.7340677267030823,0.20679249789347376,0.7045374378393076,0.7608236040523697,break_even,0.2523364485981308,0.5765182186234817,0.5206349206349207,0.8754448398576512,0.6529528865295289,0.32689450222882616,0.6731054977711739,0.12455516014234876,0.8754448398576512,0.7651821862348178,7219.028340080971,492,453,220,70
X1_to_X3,partition,race_aware,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,0.5,0.5,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
X1_to_X3,partition,race_aware,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,break_even,0.2523364485981308,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
X2_to_X3,partition,race_aware,TabPFN,1235,0.45506072874493925,0.7326651261415132,0.20752160143582463,0.7026831582402636,0.760051788923297,0.5,0.5,0.6850202429149798,0.6726546906187625,0.599644128113879,0.6340545625587959,0.7563150074294205,0.2436849925705795,0.400355871886121,0.599644128113879,0.40566801619433196,9080.161943319838,337,164,509,225
X2_to_X3,partition,race_aware,TabPFN,1235,0.45506072874493925,0.7326651261415132,0.20752160143582463,0.7026831582402636,0.760051788923297,break_even,0.2523364485981308,0.5708502024291497,0.5162932790224033,0.902135231316726,0.6567357512953369,0.29420505200594355,0.7057949479940565,0.09786476868327403,0.902135231316726,0.7951417004048583,6973.684210526316,507,475,198,55
X2_to_X3,partition,race_aware,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,0.5,0.5,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
X2_to_X3,partition,race_aware,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,break_even,0.2523364485981308,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
X1+X2_to_X3,partition,race_blind,TabPFN,1235,0.45506072874493925,0.7328475567517833,0.2069387361830989,0.7034955222826653,0.7600968228562327,0.5,0.5,0.6882591093117408,0.6903225806451613,0.5711743772241993,0.6251217137293087,0.7860326894502229,0.2139673105497771,0.4288256227758007,0.5711743772241993,0.3765182186234818,9379.757085020243,321,144,529,241
X1+X2_to_X3,partition,race_blind,TabPFN,1235,0.45506072874493925,0.7328475567517833,0.2069387361830989,0.7034955222826653,0.7600968228562327,break_even,0.2523364485981308,0.5724696356275304,0.5177083333333333,0.8843416370106761,0.6530880420499343,0.31203566121842496,0.687964338781575,0.11565836298932385,0.8843416370106761,0.7773279352226721,7166.396761133603,497,463,210,65
